"file","group","category","bundle","raw_frequency"
"JPN_B20.txt","JPN","discourse_organizer","on the other hand",0
"JPN_B20.txt","JPN","referential","one of the",2
"JPN_B20.txt","JPN","vague_extender","or something like",3
"JPN_B20.txt","JPN","referential","the most important",5
"JPN_B20.txt","JPN","stance","there are many",13
"JPN_B20.txt","JPN","stance","there is no",5
"JPN_B20.txt","JPN","vague_extender","things like that",0
"JPN_B20.txt","JPN","discourse_organizer","to sum up",0
"JPN_B20.txt","JPN","stance","we have to",5
"JPN_B20.txt","JPN","stance","we should not",3
"JPN_B20.txt","JPN","discourse_organizer","what is more",0
"KOR_A20.txt","KOR","referential","a lot of",107
"KOR_A20.txt","KOR","vague_extender","and so forth",0
"KOR_A20.txt","KOR","vague_extender","and so on",4
"KOR_A20.txt","KOR","discourse_organizer","as a result",2
"KOR_A20.txt","KOR","referential","be able to",11
"KOR_A20.txt","KOR","referential","because of the",7
"KOR_A20.txt","KOR","referential","due to the",3
"KOR_A20.txt","KOR","discourse_organizer","first of all",2
"KOR_A20.txt","KOR","stance","i agree with",10
"KOR_A20.txt","KOR","stance","i believe that",2
"KOR_A20.txt","KOR","stance","i disagree with",0
"KOR_A20.txt","KOR","stance","i do not",19
"KOR_A20.txt","KOR","stance","i think it",13
"KOR_A20.txt","KOR","stance","i think that",19
"KOR_A20.txt","KOR","stance","in my opinion",6
"KOR_A20.txt","KOR","referential","in order to",11
"KOR_A20.txt","KOR","stance","it is better",1
"KOR_A20.txt","KOR","stance","it is difficult",1
"KOR_A20.txt","KOR","stance","it is important",22
"KOR_A20.txt","KOR","stance","it is necessary",2
"KOR_A20.txt","KOR","referential","many kinds of",0
"KOR_A20.txt","KOR","referential","more and more",2
"KOR_A20.txt","KOR","discourse_organizer","on the other hand",0
"KOR_A20.txt","KOR","referential","one of the",18
"KOR_A20.txt","KOR","vague_extender","or something like",0
"KOR_A20.txt","KOR","referential","the most important",7
"KOR_A20.txt","KOR","stance","there are many",20
"KOR_A20.txt","KOR","stance","there is no",2
"KOR_A20.txt","KOR","vague_extender","things like that",0
"KOR_A20.txt","KOR","discourse_organizer","to sum up",0
"KOR_A20.txt","KOR","stance","we have to",11
"KOR_A20.txt","KOR","stance","we should not",0
"KOR_A20.txt","KOR","discourse_organizer","what is more",0
"KOR_B11.txt","KOR","referential","a lot of",78
"KOR_B11.txt","KOR","vague_extender","and so forth",1
"KOR_B11.txt","KOR","vague_extender","and so on",16
"KOR_B11.txt","KOR","discourse_organizer","as a result",5
"KOR_B11.txt","KOR","referential","be able to",8
"KOR_B11.txt","KOR","referential","because of the",7
"KOR_B11.txt","KOR","referential","due to the",1
"KOR_B11.txt","KOR","discourse_organizer","first of all",8
"KOR_B11.txt","KOR","stance","i agree with",21
"KOR_B11.txt","KOR","stance","i believe that",2
"KOR_B11.txt","KOR","stance","i disagree with",2
"KOR_B11.txt","KOR","stance","i do not",11
"KOR_B11.txt","KOR","stance","i think it",21
"KOR_B11.txt","KOR","stance","i think that",32
"KOR_B11.txt","KOR","stance","in my opinion",12
"KOR_B11.txt","KOR","referential","in order to",7
"KOR_B11.txt","KOR","stance","it is better",0
"KOR_B11.txt","KOR","stance","it is difficult",4
"KOR_B11.txt","KOR","stance","it is important",24
"KOR_B11.txt","KOR","stance","it is necessary",4
"KOR_B11.txt","KOR","referential","many kinds of",1
"KOR_B11.txt","KOR","referential","more and more",5
"KOR_B11.txt","KOR","discourse_organizer","on the other hand",1
"KOR_B11.txt","KOR","referential","one of the",6
"KOR_B11.txt","KOR","vague_extender","or something like",0
"KOR_B11.txt","KOR","referential","the most important",1
"KOR_B11.txt","KOR","stance","there are many",17
"KOR_B11.txt","KOR","stance","there is no",4
"KOR_B11.txt","KOR","vague_extender","things like that",0
"KOR_B11.txt","KOR","discourse_organizer","to sum up",0
"KOR_B11.txt","KOR","stance","we have to",10
"KOR_B11.txt","KOR","stance","we should not",0
"KOR_B11.txt","KOR","discourse_organizer","what is more",0
"KOR_B12.txt","KOR","referential","a lot of",81
"KOR_B12.txt","KOR","vague_extender","and so forth",0
"KOR_B12.txt","KOR","vague_extender","and so on",13
"KOR_B12.txt","KOR","discourse_organizer","as a result",9
"KOR_B12.txt","KOR","referential","be able to",11
"KOR_B12.txt","KOR","referential","because of the",8
"KOR_B12.txt","KOR","referential","due to the",6
"KOR_B12.txt","KOR","discourse_organizer","first of all",22
"KOR_B12.txt","KOR","stance","i agree with",26
"KOR_B12.txt","KOR","stance","i believe that",4
"KOR_B12.txt","KOR","stance","i disagree with",12
"KOR_B12.txt","KOR","stance","i do not",12
"KOR_B12.txt","KOR","stance","i think it",52
"KOR_B12.txt","KOR","stance","i think that",60
"KOR_B12.txt","KOR","stance","in my opinion",11
"KOR_B12.txt","KOR","referential","in order to",7
"KOR_B12.txt","KOR","stance","it is better",6
"KOR_B12.txt","KOR","stance","it is difficult",7
"KOR_B12.txt","KOR","stance","it is important",41
"KOR_B12.txt","KOR","stance","it is necessary",2
"KOR_B12.txt","KOR","referential","many kinds of",6
"KOR_B12.txt","KOR","referential","more and more",6
"KOR_B12.txt","KOR","discourse_organizer","on the other hand",5
"KOR_B12.txt","KOR","referential","one of the",8
"KOR_B12.txt","KOR","vague_extender","or something like",1
"KOR_B12.txt","KOR","referential","the most important",6
"KOR_B12.txt","KOR","stance","there are many",20
"KOR_B12.txt","KOR","stance","there is no",12
"KOR_B12.txt","KOR","vague_extender","things like that",0
"KOR_B12.txt","KOR","discourse_organizer","to sum up",1
"KOR_B12.txt","KOR","stance","we have to",16
"KOR_B12.txt","KOR","stance","we should not",2
"KOR_B12.txt","KOR","discourse_organizer","what is more",1
"KOR_B20.txt","KOR","referential","a lot of",59
"KOR_B20.txt","KOR","vague_extender","and so forth",0
"KOR_B20.txt","KOR","vague_extender","and so on",5
"KOR_B20.txt","KOR","discourse_organizer","as a result",10
"KOR_B20.txt","KOR","referential","be able to",11
"KOR_B20.txt","KOR","referential","because of the",11
"KOR_B20.txt","KOR","referential","due to the",4
"KOR_B20.txt","KOR","discourse_organizer","first of all",41
"KOR_B20.txt","KOR","stance","i agree with",37
"KOR_B20.txt","KOR","stance","i believe that",12
"KOR_B20.txt","KOR","stance","i disagree with",16
"KOR_B20.txt","KOR","stance","i do not",6
